,etat,marque,adresse,region,prix,description,image_links
0,Venant,Samsung,Plateau,Dakar,480000 ,Samsung galaxy Fold 4 256giga en très bon état excellent état neuf vrak sans la boîte venant usa 🇺🇸 Avec garantie 1an vous pouvez également échanger vos téléphones aussi iwbep.com,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/45dc498066d966819d53170261e068ed/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c453917451c534d46b011ce5ae51749/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ce909cc879a2489699d12b63be433991/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/8b3e8b42e7f76d36cb6b16d3b828431a/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', nan]"
1,Neuf,Samsung,Pikine,Dakar,280000 ,"Samsung galaxie S22 +
256GB 8GB ram sim esim
Dynamique amoled 120Hz
Qualcomm snap dragon 8Gen1 État venant hyper propre sans boîte vendu avec facture","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/61962df7d99c01b7c6f04698d082744a/-/horizon-files-prod/ed/picture/q0gwxm26/195226c3569b6b0024f6e25354b07cae249ffe33.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8fb87c2d4cd46eb9ce7c8c1881c2775c/-/horizon-files-prod/ed/picture/q0gwxm26/2e1078ae8525881761e16c272e2a25917e2e99e8.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/90aa8c6ac2743d866b3a1b146059bb60/-/horizon-files-prod/ed/picture/q0gwxm26/5883fbd38f5b8d7135475cc253dba59e5ab634b4.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/f139edeba1c7ade38b54440003105720/-/horizon-files-prod/ed/picture/q0gwxm26/58a110f3d3b9e39aac021c75bcbabc7a81aaff5e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/674aa6b623b71fc3d6ac26a9df769efd/-/horizon-files-prod/ed/picture/q0gwxm26/70845657fdae2cb0489dbea41bf9db15389c52ae.jpg']"
2,Neuf,Autres,Grand-Yoff,Dakar,25000 ,"Station de charge sans fil multifonction 6 en 1, chargeur sans fil rapide 15W pour iPhone série 14/13/12/11, Apple Watch 7/6/5/4/3, AirPods et smartphonesChargeur sans fil 6 en 1 : il y a jusqu'à 6 positions de charge de la station de charge Atrden, jusqu'à 4 appareils peuvent être chargés en même temps, répondant à vos multiples besoins en même temps. La station de charge alimente facilement votre téléphone portable, vos écouteurs sans fil, votre Apple Watch et tout appareil doté d'une interface Lightning, Type-C ou Mirco USB.Chargement rapide de 15 W et compatibilité universelle : mode de charge rapide pour iPhone 14/13/12/11/XS/XR/X/8,15 W, charge rapide sans fil, adapté pour Huawei P30 Pro, Mate 20 Pro, Mate 20 RS. Chargement sans fil 10 W pour Samsung Galaxy S10, S10 Plus, S10E, S9 Plus, S9, Note 9, Note 8, S8, S8 Plus, S7, S7 Edge. D'autres téléphones standard avec chargeur sans fil prennent en charge la charge sans fil 5 W. Compatible avec tous les appareils dotés d'une interface Lightning, Type-C ou Mirco USB.Authentique | Neuf Scellé | Vends avec Facture | Garantie | Livraison très Rapide.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/45ca2a2f80577a851701734c1fde4607/-/horizon-files-prod/ed/picture/qrzvkdz2/5c5aebd59e37d400029774e1701eda4c18cea9eb.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/14bc24e659e80efb59f982788834b666/-/horizon-files-prod/ed/picture/qrzvkdz2/f33ff02522b28ea0b5db7b94d020b6c3fb5a0148.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/d973af7116937d9676337db81dd89b48/-/horizon-files-prod/ed/picture/qrzvkdz2/b88fc784aba8bddd5534d3562cdbb2d2678cf839.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/55468a1cb4ac40e09d20eea0389f6b67/-/horizon-files-prod/ed/picture/qrzvkdz2/0065a17587c14703760aa98660bf33178a685e4a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/79eff465c8e275fe8e305f9e0ee34c39/-/horizon-files-prod/ed/picture/qrzvkdz2/5c5aebd59e37d400029774e1701eda4c18cea9eb.jpg']"
3,Neuf,iPhone,Fenêtre mermoz,Dakar,749000 ,"Iphone 15 Pro 256GB SIM disponible chez SS Multimédia.
-Produit neuf
-Boite scellée
-Garantie 1 an6.1'' Ecran Super Retina XDR, Technologie ProMotion, Ecran toujours activé
-Titane avec dos en verre mat texturé, Bouton Action
-Dynamic Island une expérience magique sur Iphone
-Puce A17 Pro avec CPU 6 coeurs, GPU 6 coeurs et Neural Engine 16 coeurs
-Système photo pro, objectif principal 48 Mpx/ Ultra grand-angle/ Téléobjectif
Photos super haute résolution (24 Mpx et 48 Mpx), Portrait nouvelle génération avec Mise au point et contrôle de la profondeur
-Options de zoom optique
-Appel d'urgence, SOS d'urgence par satellite, détection des accidents
-Jusqu'à 29 heures de lecture vidéo
-USB-C, prise en charge d'USB 3 pour des transferts jusqu'à 20x plus rapides
-Face ID
-Connectivité cellulaire 5G ultra -rapide
Face avant Ceramic Shield, plus résistante que le vere de n'importe quel smartphone, Titane de qualité aérospatiale, résistant à l'eau jusqu'à 6 mètres de profondeur pendant 30 minutes maximum
-Compatible avec les coques, portes-cartes, chargeurs sans fil Magsafe, et bien plus.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/eebbefc2ab4552528ea816240a9ca583/-/horizon-files-prod/ed/picture/qenq2989/5148dd9d279eb254db3888be3234ed5ace25836c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfce5623d3678980a8ed392ba167ec75/-/horizon-files-prod/ed/picture/qenq2989/649e46f102bf1d3f15df16fb7dfc83a49a2bff47.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac19f62591ba30882ec7e8090e4f1aeb/-/horizon-files-prod/ed/picture/qenq2989/8cc430dc11fed44dfec7977b56be537d30fd9c9e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/e2824744b8dce754920ea4bd6df5380b/-/horizon-files-prod/ed/picture/qenq2989/5148dd9d279eb254db3888be3234ed5ace25836c.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ee0edd5844266a122234514666c59fd7/-/horizon-files-prod/ed/picture/qenq2989/649e46f102bf1d3f15df16fb7dfc83a49a2bff47.jpg']"
4,D'occasion,Samsung,Patte d‘oie,Dakar,380000 ,"Bonjour,
Je vend mon Samsung Galaxy FOLD 4 avec coque en cuire, il fait 256Go de mémoire, Ram 12Go, vendues avec chargeur à un Prix cadeaux.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/da4670ec9985de8e2b54137b9efddbc8/-/horizon-files-prod/ed/picture/qwe29d66/4969464c842ec62801480fc72ee214024f98ef99.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/43b0572f129e56506247cf05fbf4bc80/-/horizon-files-prod/ed/picture/qwe29d66/e7e0b17d396b248af4058c480e29694e8c3a1e1f.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/00e175281af9cfd21cebd495298ad99c/-/horizon-files-prod/ed/picture/qwe29d66/8ca039e0accdfa4c43d3eefd9bf5ee616f6dfcc5.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c0fa7debf156b28ac9b8f163e2049ff/-/horizon-files-prod/ed/picture/qwe29d66/4e50486edf7a2f1275ed62b49a6f1b92ba8ba6d8.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0e4b250fcdda7d64ae48e2343035aa74/-/horizon-files-prod/ed/picture/qwe29d66/24a6a4830ef28662c2a17b5e69d506e4e76e7917.jpg']"
5,Venant,iPhone,Plateau,Dakar,310000 ,"L'iPhone 13 est un smartphone haut de gamme signé Apple et compatible 5G. Décliné en cinq couleurs, il embarque le processeur A15 Bionic, 128 Go de stockage au minimum et un double module caméra avec grand-angle et ultra grand-angle. Son écran OLED mesure 6,1 pouces et est compatible HDR Dolby Vision.VENANT USA 🇺🇲 et EU 🇪🇺 authentique ✅
Garantie 3 Mois ✅ Livraison possible et rapide partout au Sénégal 🇸🇳","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/1bae7c6183d6bffe3f4dc3ae8a0a008d/-/horizon-files-prod/ed/picture/q9m92pvx/2fe347dca7f6ca95385a42efc4a2774786b5f71f.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/c94095da27270a3573ee688e4fd3086a/-/horizon-files-prod/ed/picture/q9m92pvx/2255d5cbac070641f150adff625834317c7c61fd.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e284daf42fbd89711181dc4b4805236/-/horizon-files-prod/ed/picture/q9m92pvx/aafc06db279660f665c158b9dfde19e1fcd97d24.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/0a044d4477c205a41a7ceb278be896f5/-/horizon-files-prod/ed/picture/q9m92pvx/2fe347dca7f6ca95385a42efc4a2774786b5f71f.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/4f0dcc79855d8a75087cec3bbfa24748/-/horizon-files-prod/ed/picture/q9m92pvx/2255d5cbac070641f150adff625834317c7c61fd.jpg']"
6,Venant,Samsung,Gueule-Tapée,Dakar,220000 ,A vendre ce samsung haut de gamme S21 Ultra 5 G 2 puces plus esim 12 giga de ram et 256 de stockage avec sa pochette,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ad787e65933706eb276352b65df0822/-/horizon-files-prod/ed/picture/q6xk2g8z/b11c2e46ca9ad9b1f9cb9c9217de4e42322683cd.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/349b1e78407336d6d069489bddad7647/-/horizon-files-prod/ed/picture/q6xk2g8z/f4e3f5d4e8d6a3da48628b8aeaba61ac6f0eab54.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/f34dcaeb8c53fa0a2c990dd34f70f675/-/horizon-files-prod/ed/picture/q6xk2g8z/a1b6b14ef39e68181ebcf1e85afb65681537e15e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/23b8c238bc895a534b316a8efc583c5c/-/horizon-files-prod/ed/picture/q6xk2g8z/b11c2e46ca9ad9b1f9cb9c9217de4e42322683cd.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/e88ff0fd23323775cac53d098d1ac47a/-/horizon-files-prod/ed/picture/q6xk2g8z/f4e3f5d4e8d6a3da48628b8aeaba61ac6f0eab54.jpg']"
7,Venant,Samsung,Colobane,Dakar,190000 ,"Samsung note 10 plus 256go ram 12 original vennant tres propre presque neuf avec chargeur
La batterie tres résistant Garantie vendu avec la facture et possibilité de livraison a un prix imbattable","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2588dd2a69d6ce9b0cceb488e216c2f5/-/horizon-files-prod/ed/picture/qrzv4g85/3f0e48bbd339e2776b0f17a425a1b2a9a5e640ed.jpg', nan, nan, nan, nan]"
8,Venant,iPhone,Colobane,Dakar,34900 ,Iphone 5s original vennant tres propre memoire 16 go et qui prend tout les application en promotion garantie vendue avec la facture et possibilité de livraison a un prix imbattable,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/ccbeb7d210cc29088444eb129366da79/-/horizon-files-prod/ed/picture/qzvdzr78/03563b5d27be7bc3f3d1ae4907ee0cf9140e3d35.jpg', nan, nan, nan, nan]"
9,Venant,Huawei,Colobane,Dakar,175000 ,"Huawei p30 pro 128go go ram 8
2 sim vennant tres propre avec chargeur version Androide tres rapide et puissant
La batterie tres résistant En promotion garantie vendu avec la facture et possibilité de livraison a un prix imbattable","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/95054603f513f367ce03e173bb1c2c50/-/horizon-files-prod/ed/picture/qrzv077x/7e38eb3461ddf3ee1a4d6a3fa4f87a5a7daf82fd.jpg', nan, nan, nan, nan]"
10,Neuf,iPhone,Castor,Dakar,560000 ,"L'iPhone 14 Pro est l'un des iPhone de la 16e génération du smartphone d'Apple annoncé le 7 septembre 2022. Il introduit un nouvel écran OLED de 6,1 pouces avec un poinçon dynamique pour le capteur FaceID et la caméra frontale ainsi qu'une fréquence de rafraîchissement dynamique de 120 Hz à 1 Hz pour le Always on Display. Il possède également un nouveau SoC Apple A16 gravé en 4 nm et un nouveau triple capteur photo de 48+12+12 mégapixels avec téléobjectif X3 et ultra grand-angle.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/193de0df1669f8dd8ccaf41610627685/-/horizon-files-prod/ed/picture/qwe29d06/1a3519c7f66cf5cf02d8d7dfd841755458cbff69.jpg', nan, nan, nan, nan]"
11,Venant,Samsung,Plateau,Dakar,480000 ,Samsung galaxy Fold 4 256giga en très bon état excellent état neuf vrak sans la boîte venant usa 🇺🇸 Avec garantie 1an vous pouvez également échanger vos téléphones aussi iwbep.com,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/45dc498066d966819d53170261e068ed/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c453917451c534d46b011ce5ae51749/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ce909cc879a2489699d12b63be433991/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/8b3e8b42e7f76d36cb6b16d3b828431a/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', nan]"
12,Neuf,iPhone,Castor,Dakar,650000 ,"L'iPhone 14 Pro Max est l'un des iPhone de la 16e génération du smartphone d'Apple annoncé le 7 septembre 2022. Il introduit un nouvel écran OLED de 6,7 pouces avec un poinçon dynamique pour le capteur FaceID et la caméra frontale ainsi qu'une fréquence de rafraîchissement dynamique de 120 Hz à 1 Hz pour le Always on Display. Il possède également un nouveau SoC Apple A16 gravé en 4 nm et un nouveau triple capteur photo de 48+12+12 mégapixels avec téléobjectif X3 et ultra grand-angle.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e5119302404122d98e665252fffc618/-/horizon-files-prod/ed/picture/qngxk48v/0355eb4116c32fb406deec2c0c0cd15e23e4a037.jpg', nan, nan, nan, nan]"
13,Neuf,Xiaomi,Parcelles Assainies,Dakar,165000 ,Xiaomi redmi note 12pro dual sim 4glte mémoire interne 256go mémoire ram 8go écran tactile HD+ 6.67pouce Wi-Fi Bluetooth caméra devant et derrière 108mp snapdragon 732g taux de rafraîchissement de 120hz batterie 5000mah charge turbo 67w avec empreinte digital et reconnaissance faciale scellé dans sa boîte avec tous ses accessoires vendu sur facture et garantie livraison possible sur Dakar,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/22a1ce5315b7f9a677f96a6a797dfd65/-/horizon-files-prod/ed/picture/qrzv0g2q/5eac9cf8c4263989abb477e1c9f6a23b3aeda45e.jpg', nan, nan, nan, nan]"
14,Neuf,Xiaomi,Parcelles Assainies,Dakar,125000 ,Redmi 12 dual sim 4glte mémoire interne 256go mémoire ram 8go écran tactile HD 6.79pouce batterie 5000mah caméra devant et derrière 3capteurs 50mp système d'exploitation Android 13 scellé dans sa boîte avec tous ses accessoires vendu sur facture et garantie livraison possible sur Dakar,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/92b58dfd219062aa1ee5cfcfb054a7c6/-/horizon-files-prod/ed/picture/qm5p05qr/e186046d34f3157d17e438dc42f229fdcbf57c50.jpg', nan, nan, nan, nan]"
15,Neuf,iPhone,Sicap Liberté,Dakar,240000 ,Bonjour je vend un iPhone 12 64 go neuf dans sa boîte disponible à bon prix,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/e2246f9c0eddabfbc5e45108db8b0af1/-/horizon-files-prod/ed/picture/qq47kmke/f1e0b825a3dda1b8a2460e1224f8acf75f59f589.jpg', nan, nan, nan, nan]"
16,Neuf,Samsung,Médina,Dakar,999000 ,Des galaxies S 24 ultra 1 Tera neuf disponible à de très bon prix pour plus d'informations veuillez me contacter merci,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b0a09ca76eef478bc7677fd4a58f609/-/horizon-files-prod/ed/picture/qzvdq75n/a6e1024d82160d208651ec02702889bd9d2b5d49.jpg', nan, nan, nan, nan]"
17,Neuf,iPhone,Gueule-Tapée,Dakar,140000 ,Iphone XR 64G en Promo pour la Can chez Ly Business Service à la Gueule Tapée en face hôpital Élisabeth Diouf / Toutes les couleurs sont disponibles,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/fef60b02f9df0cb632e4ec5060a5335e/-/horizon-files-prod/ed/picture/qwe25wrk/270f48cb7907ec4cb0b43089be8b7bb3b8dea4c8.jpg', nan, nan, nan, nan]"
18,Neuf,iPhone,Gueule-Tapée,Dakar,185000 ,11simple 64G promo Coupe d'Afrique chez Ly Business Service à la Gueule Tapée en face hôpital Élisabeth Diouf/ Toutes les couleurs sont disponibles,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/04c91378b61f0fedc2c60b5ad1998aa9/-/horizon-files-prod/ed/picture/q2jqngke/f36a80182d4857c264d0248c46957b3ea89b7853.jpg', nan, nan, nan, nan]"
19,Neuf,iPhone,Gueule-Tapée,Dakar,310000 ,13 simple 128G Promo Can chez Ly Business Service à la Gueule Tapée en face hôpital Élisabeth Diouf/ Toutes les couleurs sont disponibles,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f3a8def86aa39269fea79433c08c053/-/horizon-files-prod/ed/picture/q8v5xgg0/9bb4f4446c0984761a36e0107c89e71ce2cfd8e7.jpg', nan, nan, nan, nan]"
20,Neuf,iPhone,Médina,Dakar,400000 ,"BON PLAN 😍
12 64GO - Neuf Scellés - Idéal pour cadeauToutes les couleurs sont disponiblesFacture et GarantieCadeau: Pochette ou Blindé offert📍Adresse :⁠ MÉDINA au niveau hôpital abass ndao (SENELEC MÉDINA)⁠KEUR MASSAR au niveau du Rond-point (en face Station Shell⁠ RUFISQUE au niveau de la gare 🚉","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e20c6b5c440e6fc49a3047e46a07b51/-/horizon-files-prod/ed/picture/qzvdq7jr/d2ca7291e328bee16262f50c75086d38bfe45aa0.jpg', nan, nan, nan, nan]"
21,Venant,iPhone,Plateau,Dakar,1100000 ,15pro max 256gb 512gb e 1tera,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/6386787581c2fbbe8289f8d92a1b2bca/-/horizon-files-prod/ed/picture/qdekn40m/40fcaee1f909ac5a3541f9dbad125b014da0157f.jpg', nan, nan, nan, nan]"
22,Venant,Samsung,Plateau,Dakar,480000 ,Samsung galaxy Fold 4 256giga en très bon état excellent état neuf vrak sans la boîte venant usa 🇺🇸 Avec garantie 1an vous pouvez également échanger vos téléphones aussi iwbep.com,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/45dc498066d966819d53170261e068ed/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c453917451c534d46b011ce5ae51749/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ce909cc879a2489699d12b63be433991/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/8b3e8b42e7f76d36cb6b16d3b828431a/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', nan]"
